movieId,avg_rating,rating_count,rating_std,year,genres_list,label_genre,tmdbId
1,3.92,215,0.83,1995,['Adventure' 'Animation' 'Children' 'Comedy' 'Fantasy'],Adventure,862
2,3.43,110,0.88,1995,['Adventure' 'Children' 'Fantasy'],Adventure,8844
3,3.26,52,1.05,1995,['Comedy' 'Romance'],Comedy,15602
4,2.36,7,0.85,1995,['Comedy' 'Drama' 'Romance'],Comedy,31357
5,3.07,49,0.91,1995,['Comedy'],Comedy,11862
6,3.95,102,0.82,1995,['Action' 'Crime' 'Thriller'],Action,949
7,3.19,54,0.98,1995,['Comedy' 'Romance'],Comedy,11860
8,2.88,8,1.13,1995,['Adventure' 'Children'],Adventure,45325
9,3.12,16,0.97,1995,['Action'],Action,9091
10,3.5,132,0.86,1995,['Action' 'Adventure' 'Thriller'],Action,710
11,3.67,70,0.9,1995,['Comedy' 'Drama' 'Romance'],Comedy,9087
12,2.42,19,1.25,1995,['Comedy' 'Horror'],Comedy,12110
13,3.12,8,0.64,1995,['Adventure' 'Animation' 'Children'],Adventure,21032
14,3.83,18,0.71,1995,['Drama'],Drama,10858
15,3.0,13,1.21,1995,['Action' 'Adventure' 'Romance'],Action,1408
16,3.93,82,0.89,1995,['Crime' 'Drama'],Crime,524
17,3.78,67,1.15,1995,['Drama' 'Romance'],Drama,4584
18,3.7,20,0.91,1995,['Comedy'],Comedy,5
19,2.73,88,1.06,1995,['Comedy'],Comedy,9273
20,2.5,15,0.98,1995,['Action' 'Comedy' 'Crime' 'Drama' 'Thriller'],Action,11517
21,3.49,89,0.87,1995,['Comedy' 'Crime' 'Thriller'],Comedy,8012
22,3.22,36,0.82,1995,['Crime' 'Drama' 'Horror' 'Mystery' 'Thriller'],Crime,1710
23,3.12,16,1.12,1995,['Action' 'Crime' 'Thriller'],Action,9691
24,3.12,28,1.01,1995,['Drama' 'Sci-Fi'],Drama,12665
25,3.62,76,1.12,1995,['Drama' 'Romance'],Drama,451
26,3.5,13,0.61,1995,['Drama'],Drama,16420
27,3.33,9,1.2,1995,['Children' 'Drama'],Children,9263
28,4.23,11,0.79,1995,['Drama' 'Romance'],Drama,17015
29,4.01,38,0.83,1995,['Adventure' 'Drama' 'Fantasy' 'Mystery' 'Sci-Fi'],Adventure,902
30,3.0,3,1.73,1995,['Crime' 'Drama'],Crime,37557
31,3.18,38,0.99,1995,['Drama'],Drama,9909
32,3.98,177,0.79,1995,['Mystery' 'Sci-Fi' 'Thriller'],Mystery,63
34,3.65,128,1.04,1995,['Children' 'Drama'],Children,9598
36,3.84,67,0.94,1995,['Crime' 'Drama'],Crime,687
38,2.12,4,0.85,1995,['Children' 'Comedy'],Children,33689
39,3.29,104,1.04,1995,['Comedy' 'Romance'],Comedy,9603
40,4.25,2,1.06,1995,['Drama'],Drama,34615
41,3.7,15,0.68,1995,['Drama' 'War'],Drama,31174
42,3.0,7,0.82,1995,['Action' 'Crime' 'Drama'],Action,11443
43,3.19,8,0.65,1995,['Drama'],Drama,35196
44,2.54,46,1.08,1995,['Action' 'Adventure' 'Fantasy'],Action,9312
45,3.31,32,0.83,1995,['Comedy' 'Drama' 'Thriller'],Comedy,577
46,3.07,15,1.18,1995,['Drama' 'Romance'],Drama,11861
47,3.98,203,0.92,1995,['Mystery' 'Thriller'],Mystery,807
48,3.15,68,1.05,1995,['Animation' 'Children' 'Drama' 'Musical' 'Romance'],Animation,10530
49,3.0,1,0.0,1995,['Drama' 'Romance'],Drama,8391
50,4.24,204,0.8,1995,['Crime' 'Mystery' 'Thriller'],Crime,629
52,3.46,28,0.87,1995,['Comedy' 'Drama' 'Romance'],Comedy,11448
53,5.0,2,0.0,1994,['Adventure' 'Drama'],Adventure,49133
54,2.33,3,1.53,1995,['Children' 'Comedy'],Children,26441
55,4.0,1,0.0,1995,['Drama'],Drama,97406
57,3.06,8,0.86,1995,['Drama'],Drama,9089
58,4.03,37,0.92,1994,['Comedy' 'Drama' 'Romance'],Comedy,11010
60,3.24,34,1.02,1995,['Adventure' 'Children' 'Fantasy'],Adventure,11359
61,3.75,6,0.88,1996,['Drama' 'Thriller'],Drama,17182
62,3.71,80,1.05,1995,['Drama'],Drama,2054
63,2.71,7,1.15,1996,['Comedy' 'Crime'],Comedy,10607
64,2.2,5,0.84,1996,['Comedy' 'Romance'],Comedy,19760
65,2.53,31,1.06,1996,['Comedy'],Comedy,9536
66,2.5,9,1.12,1996,['Action' 'Sci-Fi' 'Thriller'],Action,11525
68,3.4,5,1.14,1995,['Comedy' 'Romance'],Comedy,4482
69,3.78,20,0.9,1995,['Comedy'],Comedy,10634
70,3.51,55,1.02,1996,['Action' 'Comedy' 'Horror' 'Thriller'],Action,755
71,1.7,5,0.45,1995,['Action'],Action,11859
72,3.21,7,1.29,1995,['Comedy' 'Drama'],Comedy,28387
73,3.46,13,0.69,1995,['Drama' 'War'],Drama,48750
74,4.0,8,0.76,1996,['Drama' 'Romance'],Drama,20927
75,2.2,5,1.1,1996,['Comedy' 'Drama'],Comedy,36929
76,3.4,15,1.2,1995,['Action' 'Sci-Fi' 'Thriller'],Action,9102
77,4.0,1,0.0,1995,['Documentary'],Documentary,124626
78,3.33,3,0.58,1995,['Action' 'Crime' 'Drama' 'Thriller'],Action,27526
79,2.76,17,1.2,1996,['Drama' 'Thriller'],Drama,9623
80,4.0,2,0.0,1995,['Children' 'Drama'],Children,46785
81,3.11,14,0.76,1995,['Crime' 'Drama' 'Romance'],Crime,400
82,3.88,8,1.48,1995,['Comedy' 'Drama'],Comedy,880
83,3.0,1,0.0,1995,['Drama' 'Romance'],Drama,146599
85,3.86,7,1.57,1995,['Drama' 'Romance'],Drama,8447
86,3.97,15,0.77,1996,['Action' 'Adventure' 'Drama'],Action,10534
87,2.5,7,0.96,1996,['Children' 'Comedy'],Children,17414
88,3.16,16,1.18,1996,['Comedy'],Comedy,13997
89,3.25,10,0.75,1995,['Action' 'Thriller'],Action,2086
92,2.62,8,1.03,1996,['Drama' 'Horror' 'Thriller'],Drama,9095
93,2.83,9,1.03,1995,['Comedy' 'Horror' 'Romance'],Comedy,12158
94,3.95,10,0.5,1996,['Comedy' 'Drama' 'Romance'],Comedy,9283
95,3.02,84,1.01,1996,['Action' 'Adventure' 'Thriller'],Action,9208
96,3.5,1,0.0,1995,['Comedy' 'Drama'],Comedy,40154
97,3.9,10,0.74,1995,['Crime' 'Drama'],Crime,406
99,5.0,2,0.0,1995,['Documentary'],Documentary,63076
100,2.79,14,0.7,1996,['Drama' 'Thriller'],Drama,11062
101,3.78,23,1.04,1996,['Adventure' 'Comedy' 'Crime' 'Romance'],Adventure,13685
102,2.4,5,1.95,1996,['Comedy'],Comedy,47475
103,3.0,3,0.0,1996,['Mystery' 'Sci-Fi' 'Thriller'],Mystery,2045
104,3.44,99,0.99,1996,['Comedy'],Comedy,9614
105,3.28,23,0.85,1995,['Drama' 'Romance'],Drama,688
106,4.0,1,0.0,1994,['Comedy' 'Drama'],Comedy,11907
107,3.33,26,0.93,1996,['Adventure' 'Children' 'Comedy' 'Musical'],Adventure,10874
108,4.0,1,0.0,1996,['Documentary'],Documentary,89333
110,4.03,237,0.97,1995,['Action' 'Drama' 'War'],Action,197
111,4.11,104,0.82,1976,['Crime' 'Drama' 'Thriller'],Crime,103
112,3.54,46,0.93,1995,['Action' 'Adventure' 'Comedy' 'Crime'],Action,33542
113,3.33,3,0.58,1996,['Drama' 'Mystery'],Drama,43566
116,3.9,5,1.02,1995,['Documentary'],Documentary,51352
117,3.0,1,0.0,1995,['Crime' 'Drama'],Crime,16934
118,2.5,2,0.71,1996,['Comedy' 'Romance'],Comedy,10324
119,3.0,2,0.0,1995,['Comedy'],Comedy,78406
121,4.0,2,0.0,1992,['Drama'],Drama,32119
122,2.66,16,0.72,1992,['Comedy' 'Romance'],Comedy,11066
123,4.38,4,0.95,1994,['Drama' 'Mystery' 'Romance'],Drama,11104
125,3.58,12,1.26,1996,['Comedy'],Comedy,2074
126,2.0,7,0.82,1994,['Adventure' 'Children' 'Fantasy'],Adventure,27793
128,3.0,1,0.0,1994,['Documentary'],Documentary,290157
129,2.0,1,0.0,1996,['Comedy' 'Romance'],Comedy,110972
132,2.83,6,0.75,1995,['Thriller'],Thriller,11863
135,2.95,31,1.03,1996,['Comedy'],Comedy,9101
137,3.0,1,0.0,1995,['Documentary'],Documentary,5757
140,3.5,16,0.68,1996,['Drama' 'Romance'],Drama,9302
141,3.49,86,0.84,1996,['Comedy'],Comedy,11000
144,3.33,12,0.86,1995,['Comedy'],Comedy,16388
145,3.25,51,0.86,1995,['Action' 'Comedy' 'Crime' 'Drama' 'Thriller'],Action,9737
146,3.33,3,0.58,1995,['Adventure' 'Children'],Adventure,30765
147,3.47,15,0.85,1995,['Drama'],Drama,10474
148,5.0,1,0.0,1995,['Drama'],Drama,22279
149,2.0,1,0.0,1994,['Crime' 'Drama' 'Thriller'],Crime,30157
150,3.85,201,0.88,1995,['Adventure' 'Drama' 'IMAX'],Adventure,568
151,3.55,44,0.95,1995,['Action' 'Drama' 'Romance' 'War'],Action,11780
152,1.5,2,0.71,1995,['Drama' 'Horror'],Drama,34996
153,2.92,137,0.9,1995,['Action' 'Adventure' 'Comedy' 'Crime'],Action,414
154,3.88,12,0.61,1967,['Drama'],Drama,649
155,2.42,6,1.36,1995,['Adventure' 'Drama' 'War'],Adventure,1873
156,3.33,3,1.15,1995,['Comedy' 'Drama'],Comedy,5894
157,2.86,11,1.1,1995,['Comedy' 'War'],Comedy,1775
158,2.81,62,1.11,1995,['Adventure' 'Children'],Adventure,8839
159,2.89,14,0.92,1995,['Crime' 'Drama' 'Mystery'],Crime,20649
160,2.88,57,1.03,1995,['Action' 'Adventure' 'Mystery' 'Sci-Fi'],Action,10329
161,3.64,103,0.88,1995,['Drama' 'Thriller' 'War'],Drama,8963
162,4.21,17,0.64,1994,['Documentary'],Documentary,26564
163,3.56,66,0.99,1995,['Action' 'Romance' 'Western'],Action,8068
164,3.32,14,0.77,1995,['Crime' 'Film-Noir' 'Mystery' 'Thriller'],Crime,8512
165,3.56,144,0.92,1995,['Action' 'Crime' 'Thriller'],Action,1572
166,2.83,3,1.26,1995,['Comedy' 'Crime' 'Drama'],Comedy,13552
168,3.08,54,1.3,1995,['Action' 'Drama' 'Romance'],Action,6520
169,2.4,10,0.99,1995,['Adventure' 'Children' 'Drama'],Adventure,9073
170,3.23,35,0.92,1995,['Action' 'Adventure' 'Crime' 'Thriller'],Action,10428
171,3.83,6,0.98,1995,['Comedy' 'Drama'],Comedy,17447
172,2.68,53,1.07,1995,['Action' 'Sci-Fi' 'Thriller'],Action,9886
173,2.67,62,1.03,1995,['Action' 'Crime' 'Sci-Fi'],Action,9482
174,2.7,10,1.48,1995,['Comedy'],Comedy,19326
175,3.98,20,0.75,1995,['Drama'],Drama,9344
176,4.31,13,0.52,1995,['Comedy'],Comedy,9071
177,2.75,8,1.16,1995,['Horror'],Horror,8973
178,1.0,1,0.0,1993,['Comedy' 'Drama'],Comedy,15730
179,1.5,2,0.71,1995,['Drama' 'Romance'],Drama,47608
180,3.4,36,0.92,1995,['Comedy' 'Romance'],Comedy,2293
181,2.26,17,1.16,1995,['Action' 'Children'],Action,9070
183,3.5,2,0.71,1994,['Comedy' 'Horror' 'Thriller'],Comedy,48787
184,3.5,2,0.71,1994,['Drama'],Drama,34574
185,3.04,112,1.04,1995,['Action' 'Crime' 'Thriller'],Action,1642
186,2.82,48,1.07,1995,['Comedy' 'Romance'],Comedy,11472
187,4.12,4,0.85,1995,['Comedy'],Comedy,36196
188,3.46,12,1.01,1995,['Fantasy' 'Horror' 'Mystery'],Fantasy,11980
189,3.0,1,0.0,1995,['Comedy' 'Fantasy'],Comedy,58372
190,2.8,5,1.48,1995,['Thriller'],Thriller,32646
191,2.42,6,1.43,1995,['Drama' 'Romance'],Drama,10533
193,2.47,35,1.01,1995,['Drama'],Drama,10802
194,3.67,18,1.27,1995,['Comedy' 'Drama'],Comedy,10149
195,3.1,10,1.26,1995,['Comedy' 'Drama' 'Romance'],Comedy,18402
196,2.67,45,0.92,1995,['Horror' 'Sci-Fi'],Horror,9348
198,3.25,28,0.93,1995,['Action' 'Crime' 'Drama' 'Mystery' 'Sci-Fi' 'Thriller'],Action,281
199,4.12,4,0.85,1964,['Drama' 'Musical' 'Romance'],Drama,5967
